Position,Track Name,Artist,Streams,URL,Week Start Date,Week End Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
136,Lust,Lil Skies,1855363,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S,2018-11-23,2018-11-30,0.138,Life of a Dark Rose,0.718,156000,0.767,True,https://i.scdn.co/image/e5eea949b07222706328ba45f8fa495e0cac94ef,0.0,9,0.114,-5.641,1,82,0.166,160.084,4,0.519
137,"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,1850224,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK,2018-11-23,2018-11-30,0.738,Glow,0.583,173560,0.572,False,https://i.scdn.co/image/864264c9a4668932d8c1742a8d4930df84d249d8,0.0,1,0.266,-4.776,1,84,0.0366,113.998,4,0.684
138,Don't Stop Me Now - Remastered,Queen,1847015,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2018-11-23,2018-11-30,0.0475,Jazz (2011 Remaster),0.559,209413,0.868,False,https://i.scdn.co/image/c6c9696320c5edda02eade9b791ae48cabf0cc55,0.000176,5,0.776,-5.276,1,85,0.17,156.295,4,0.609
139,Walk,Comethazine,1835520,https://open.spotify.com/track/21kOVEG3bDCVphKhXL8XmQ,2018-11-23,2018-11-30,0.221,Bawskee,0.831,96064,0.795,True,https://i.scdn.co/image/6f38cbf1a619f304d550c9e73e14ecf46a1f8c4d,0.0,1,0.291,-6.186,1,80,0.264,160.063,4,0.744
140,Another One Bites The Dust - Remastered 2011,Queen,1830417,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2018-11-23,2018-11-30,0.112,The Game (2011 Remaster),0.933,214653,0.528,False,https://i.scdn.co/image/63854607362304a531681f52214f52502339ca4a,0.312,5,0.163,-6.472,0,85,0.161,109.967,4,0.754
141,Somebody To Love - Remastered 2011,Queen,1827648,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,2018-11-23,2018-11-30,0.172,A Day At The Races (Deluxe Remastered Version),0.492,296493,0.676,False,https://i.scdn.co/image/b1c499e6d7e86b3c919c138983a73e1ee390fb65,0.0,8,0.239,-6.861,1,74,0.0516,110.232,3,0.412
142,Speechless,Dan + Shay,1808402,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF,2018-11-23,2018-11-30,0.356,Dan + Shay,0.616,213387,0.438,False,https://i.scdn.co/image/261bee18c33f6e0101dee0d9b16691023d89971d,0.0,1,0.24,-5.968,1,71,0.0298,135.929,4,0.386
143,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,1806136,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO,2018-11-23,2018-11-30,0.902,Heavenly Eartha,0.7,206067,0.138,False,https://i.scdn.co/image/f9c2445412363ddb7bbaa1895b5c7093e798c83b,0.0,8,0.185,-12.347,1,71,0.0612,84.487,4,0.49
144,Be Alright,Dean Lewis,1801131,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2018-11-23,2018-11-30,0.697,Be Alright,0.553,196373,0.586,True,https://i.scdn.co/image/9e1be389bfb3946c923f6888578b6a6f54c6b969,0.0,11,0.0813,-6.319,1,91,0.0362,126.684,4,0.443
145,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,1772661,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,2018-11-23,2018-11-30,0.0609,TESTING,0.85,205040,0.569,True,https://i.scdn.co/image/6a85d1bd6f66bf7c6e8bb0c825a2dc15e4c6ae96,0.0816,5,0.1,-8.152,0,85,0.136,80.02,4,0.294
146,I Like Me Better,Lauv,1768054,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2018-11-23,2018-11-30,0.535,I met you when I was 18. (the playlist),0.752,197437,0.505,False,https://i.scdn.co/image/fd81e964c72bb185940f343cd5fd501b6d27f067,2.55e-06,9,0.104,-7.621,1,74,0.253,91.97,4,0.419
147,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,1764355,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,2018-11-23,2018-11-30,0.0476,Expectations,0.642,164205,0.772,False,https://i.scdn.co/image/ef24726ae44b2a0ef78cf3be0aceaf84b94f1469,0.0,10,0.0646,-6.61,1,71,0.0848,153.995,4,0.589
148,Kiss and Make Up,Dua Lipa,1756578,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-11-23,2018-11-30,0.0557,Dua Lipa (Complete Edition),0.675,190560,0.729,False,https://i.scdn.co/image/52bd057ad49ec5490735ed2768fe2e0c29787f3d,0.0,8,0.189,-4.383,1,52,0.146,99.986,4,0.63
149,HUMBLE.,Kendrick Lamar,1748992,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2018-11-23,2018-11-30,0.000282,DAMN.,0.908,177000,0.621,True,https://i.scdn.co/image/72a11ced4752d3e6b9106839b650afc696c63d5a,5.39e-05,1,0.0958,-6.638,0,85,0.102,150.011,4,0.421
150,Love Scars 3,Trippie Redd,1748208,https://open.spotify.com/track/0AcicReEGm1qcENjqzh1Tg,2018-11-23,2018-11-30,0.136,A Love Letter To You 3,0.544,129429,0.524,True,https://i.scdn.co/image/c45c5821b423f682f3f7e1aeeca8791e7dfd8303,0.0,8,0.106,-7.914,1,77,0.0621,81.982,4,0.117
151,Self Care,Mac Miller,1747548,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx,2018-11-23,2018-11-30,0.367,Swimming,0.52,345133,0.538,True,https://i.scdn.co/image/6dd91ca36a8dd29918947232b682f970a6fada36,0.00187,1,0.119,-8.109,1,80,0.206,141.894,4,0.177
152,Te Boté - Remix,Nio Garcia,1743299,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2018-11-23,2018-11-30,0.542,Te Boté (Remix),0.903,417920,0.675,True,https://i.scdn.co/image/62b4a8f77bfa94a6609920de7c2bc91b9cc3f19c,1.28e-05,11,0.0595,-3.445,0,88,0.214,96.507,4,0.442
