URL,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
https://open.spotify.com/track/4vfoaY2U7Tc5oEdxChkpRw,0.496,Bombazo Navideno Vol. 2,0.733,502248.0,0.845,False,https://i.scdn.co/image/80938a5228f5100bfe9a4f793ae25532bf102feb,0.0,0.0,0.0862,-4.711,1.0,32.0,0.0451,100.08,4.0,0.794
https://open.spotify.com/track/6yZR2iC9bfBN6XJXV82x56,0.506,Buscándote,0.733,249734.0,0.753,False,https://i.scdn.co/image/22cb57b82e3a325784254f9ac12796f113b2a16a,1.9e-06,6.0,0.0562,-6.226,0.0,52.0,0.0389,93.953,4.0,0.723
https://open.spotify.com/track/5XNeals8E3mLTZO2fmVPOB,0.552,Los Primera,0.673,291627.0,0.863,False,https://i.scdn.co/image/7b483b31a1ce56cff0fede51b7d2d191cceaedf9,0.000336,0.0,0.121,-3.403,1.0,46.0,0.0511,91.364,4.0,0.751
https://open.spotify.com/track/3EypXSP7JVjtusvnBtAIBo,0.47,Merengue,0.717,191032.0,0.864,True,https://i.scdn.co/image/ea482e9fe207b0690ca2c292d8f3197b38fae7b9,0.0,1.0,0.147,-3.231,1.0,48.0,0.216,112.97,4.0,0.738
https://open.spotify.com/track/0f2cQQMZJzQ1BA2sppvw5w,0.0582,El Dueno del Flow,0.724,235218.0,0.8,False,https://i.scdn.co/image/88e45c038ccc44ec69117827e76eb06d79cfb059,0.000717,2.0,0.198,-5.676,0.0,49.0,0.0368,126.994,4.0,0.755
https://open.spotify.com/track/4nw3oCaq6A1oCvbmwhX4wH,0.0564,"El Dueño del Flow, Vol. 2",0.721,239400.0,0.792,False,https://i.scdn.co/image/46d2fb35f5d1f88566126388f29563707f431fcc,0.000504,2.0,0.164,-5.683,0.0,44.0,0.0366,127.006,4.0,0.732
https://open.spotify.com/track/7gT6BKjzmmZM0FkYJjPSqv,0.231,100% Merengue,0.74,279547.0,0.894,False,https://i.scdn.co/image/07b475de2ca250072aa4f331ae5b980817c8734e,0.0,10.0,0.111,-5.445,1.0,46.0,0.0327,130.01,4.0,0.6
https://open.spotify.com/track/38qyrYncn2zfl3iYmSfDkW,0.371,Enamorada de Ti,0.757,179067.0,0.781,False,https://i.scdn.co/image/f75f7c6290797d2e7b8e1e4b5fd18dd074b8b58f,0.0,1.0,0.123,-4.725,0.0,39.0,0.0472,123.58,4.0,0.936
https://open.spotify.com/track/3M3zlQ6AhNQxdY3Lc720dN,0.104,Bombazo Navideño 3,0.794,535127.0,0.602,False,https://i.scdn.co/image/6ee07a27026170505096bfb4ba02abd4462a70e1,0.0011,7.0,0.293,-12.731,1.0,32.0,0.132,142.023,4.0,0.908
https://open.spotify.com/track/1mPfrklW7IU8ZJEmR3LUH6,0.434,Avansando (Merengue),0.798,214727.0,0.508,False,https://i.scdn.co/image/f7a660481acabb27c2b2adda9ad2f8d19ad06045,6.45e-05,0.0,0.651,-12.142,1.0,40.0,0.0526,140.446,4.0,0.959
