Position,Track Name,Artist,Streams,URL,Week Start Date,Week End Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
39,Cold Water (feat. Justin Bieber & MØ),Major Lazer,2493998,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2016-12-30,2017-01-06,0.0736,Cold Water (feat. Justin Bieber & MØ),0.608,185352,0.798,False,https://i.scdn.co/image/16d7eeee661a8cb548f9aca4ed683669ced0a5e8,0.0,6,0.156,-5.092,0,52,0.0432,92.943,4,0.501
40,Swang,Rae Sremmurd,2424161,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL,2016-12-30,2017-01-06,0.2,SremmLife 2 (Deluxe),0.681,208120,0.314,True,https://i.scdn.co/image/12c1c42e0e98e23efe7cb529791d7c4921727640,9.82e-06,8,0.1,-9.319,1,76,0.0581,139.992,4,0.166
41,Controlla,Drake,2423349,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa,2016-12-30,2017-01-06,0.0773,Views,0.607,245227,0.476,True,https://i.scdn.co/image/b48b1b7e56f424818f2e8df537c3b692740f100b,0.0,10,0.113,-11.076,0,18,0.249,122.976,5,0.347
42,Six Feet Under,The Weeknd,2419147,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY,2016-12-30,2017-01-06,0.129,Starboy,0.772,237573,0.504,True,https://i.scdn.co/image/387c963be76db261c25a1811546ac802ebc8f67c,0.0,6,0.125,-8.219,0,69,0.0761,140.035,4,0.244
43,Don't Let Me Down,The Chainsmokers,2402845,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2016-12-30,2017-01-06,0.16,The Chainsmokers- Japan Special Edition,0.542,208053,0.859,False,https://i.scdn.co/image/ab8dda51c61e5c01420b3acbc2122f520c57a79a,0.00466,11,0.137,-5.651,1,41,0.197,159.797,4,0.403
44,pick up the phone,Young Thug,2385552,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr,2016-12-30,2017-01-06,0.114,Birds In The Trap Sing McKnight,0.711,252256,0.739,True,https://i.scdn.co/image/ea447323073c2208e8cf64b0fc3250cc37c71c6c,0.0,7,0.226,-3.804,0,74,0.129,136.919,4,0.43
45,Needed Me,Rihanna,2372277,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm,2016-12-30,2017-01-06,0.11,ANTI,0.671,191600,0.314,True,https://i.scdn.co/image/8773986e8f646d32333a5bdafa7797f4c50a1007,0.0,5,0.0825,-8.091,0,72,0.244,110.898,4,0.296
46,Just Hold On,Steve Aoki,2366651,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2016-12-30,2017-01-06,0.00383,Just Hold On,0.647,198774,0.932,False,https://i.scdn.co/image/3f31e79c320ece8b2d3763b717cf256d1f77bc17,1.5e-06,11,0.0574,-3.515,1,71,0.0824,114.991,4,0.374
47,Treat You Better,Shawn Mendes,2340498,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2016-12-30,2017-01-06,0.123,Illuminate,0.624,187973,0.803,False,https://i.scdn.co/image/e1abe5fc92f7019c7b8c64f02c65cf6129f1c999,0.0,10,0.114,-4.105,0,0,0.246,166.018,4,0.821
48,Sidewalks,The Weeknd,2321664,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko,2016-12-30,2017-01-06,0.147,Starboy,0.542,231360,0.721,True,https://i.scdn.co/image/387c963be76db261c25a1811546ac802ebc8f67c,0.0,1,0.348,-5.136,0,70,0.0625,149.831,4,0.623
49,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2272394,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2016-12-30,2017-01-06,0.406,Rockabye (feat. Sean Paul & Anne-Marie),0.72,251088,0.763,False,https://i.scdn.co/image/588aa676ded92cf04e98b5921b8422e6b5dcae9c,0.0,9,0.18,-4.068,0,81,0.0523,101.965,4,0.742
50,Immortal,J. Cole,2194654,https://open.spotify.com/track/6AGON2BGdPmPMJGiiNuuwl,2016-12-30,2017-01-06,0.435,4 Your Eyez Only,0.713,201667,0.419,True,https://i.scdn.co/image/d7d9fbf6929b5b1248e73649ea1ac832b576d5bc,2.87e-06,11,0.126,-10.668,1,68,0.356,91.634,4,0.253
51,Redbone,Childish Gambino,2175894,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,2016-12-30,2017-01-06,0.172,"""Awaken, My Love!""",0.745,326933,0.356,True,https://i.scdn.co/image/7fc3038cd640421f0b9f943a3854075227dc9b35,0.00943,1,0.123,-10.425,1,81,0.0941,160.033,4,0.607
52,Work from Home,Fifth Harmony,2102278,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2016-12-30,2017-01-06,0.103,7/27 (Deluxe),0.803,214480,0.585,False,https://i.scdn.co/image/3c54c9104cffee90367dae387123229a572602fa,3.94e-06,8,0.0644,-5.861,1,79,0.0432,105.017,4,0.593
53,All Time Low,Jon Bellion,2073078,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2016-12-30,2017-01-06,0.0584,The Human Condition,0.617,217603,0.567,True,https://i.scdn.co/image/6272a9e35af11570d06e9db11931f3c4b531f601,0.0,0,0.0933,-4.188,1,74,0.0828,90.246,4,0.505
54,Panda,Desiigner,2064963,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,2016-12-30,2017-01-06,0.028,New English,0.576,246761,0.766,True,https://i.scdn.co/image/28df19a123ee2434733f303abb3e4966d3b62093,1.68e-06,10,0.366,-4.943,0,14,0.449,144.833,4,0.236
55,Some Kind Of Drug,G-Eazy,2007331,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,2016-12-30,2017-01-06,0.0705,When It's Dark Out,0.586,222467,0.525,True,https://i.scdn.co/image/20c8c138b49ac6a62d9aa6b676e2e0c932a9a0e0,0.0,0,0.0729,-8.968,1,71,0.498,126.51,4,0.491
56,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1995424,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2016-12-30,2017-01-06,0.0123,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.667,236002,0.83,False,https://i.scdn.co/image/84b9940cb99bf1072d553158c6e23426cb13b789,0.0,0,0.191,-5.715,1,78,0.0749,113.03,4,0.701
57,Work,Rihanna,1969886,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,2016-12-30,2017-01-06,0.0752,ANTI (Deluxe),0.725,219320,0.534,True,https://i.scdn.co/image/836000c5da9524f2a7ec2b818c9dc7261cfae944,0.0,11,0.0919,-6.238,1,22,0.0946,91.974,4,0.558
58,Now and Later,Sage The Gemini,1951897,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd,2016-12-30,2017-01-06,0.273,Now and Later,0.781,193181,0.57,False,https://i.scdn.co/image/4ba6e77f68976aa49830bc3449a4fa33a58c0137,0.0,11,0.196,-5.874,0,64,0.188,107.059,4,0.858
59,Low Life,Future,1896260,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX,2016-12-30,2017-01-06,0.337,EVOL,0.722,313547,0.331,True,https://i.scdn.co/image/0c10e5b4eb2c63ceabd1f89d5ef349d8d05482e1,0.283,8,0.146,-7.789,1,75,0.0725,143.974,4,0.102
60,Cheap Thrills,Sia,1895573,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2016-12-30,2017-01-06,0.0472,This Is Acting,0.628,211667,0.698,False,https://i.scdn.co/image/37f615e5ec794b796556f99c608b6e283dc27286,0.00143,6,0.0907,-5.608,0,77,0.105,89.976,4,0.732
61,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,1894425,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB,2016-12-30,2017-01-06,0.255,Sucker For Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),0.502,243491,0.786,True,https://i.scdn.co/image/16d69d01b01dcebacff2a0449934dcab74aa6e91,0.0,9,0.65,-4.378,0,78,0.317,169.021,4,0.739
62,Used to This,Future,1890971,https://open.spotify.com/track/78sr3ogs4UzITcCNbXM9cM,2016-12-30,2017-01-06,0.0312,FUTURE,0.618,180520,0.727,True,https://i.scdn.co/image/6b311ec6e3d6999a14e7d1ea8841d00226c292c6,0.0,3,0.196,-7.224,0,49,0.208,164.992,4,0.401
63,Into You,Ariana Grande,1874910,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,2016-12-30,2017-01-06,0.0161,Dangerous Woman,0.636,244453,0.727,False,https://i.scdn.co/image/e1446c8c042e41cb12215d7746294b974133a001,1.12e-06,9,0.151,-5.852,1,24,0.106,107.988,4,0.358
64,Chantaje (feat. Maluma),Shakira,1860023,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2016-12-30,2017-01-06,0.187,El Dorado,0.852,195840,0.773,False,https://i.scdn.co/image/4ade479eb789eb56ef299fa23ee0e09c57b0e57c,3.05e-05,8,0.159,-2.921,0,77,0.0776,102.034,4,0.907
65,Ride,Twenty One Pilots,1859241,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2016-12-30,2017-01-06,0.00835,Blurryface,0.645,214507,0.713,False,https://i.scdn.co/image/cd5eb6933cca9421578e3badfed816f046f3a86e,0.0,6,0.113,-5.355,1,81,0.0393,74.989,4,0.566
66,All Night,The Vamps,1845885,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,2016-12-30,2017-01-06,0.00251,All Night,0.563,197793,0.775,False,https://i.scdn.co/image/ce16da1a2ed9be674f3ca5ec4ea002f3b03813c6,0.0,8,0.326,-6.433,1,18,0.0366,144.945,4,0.458
67,Love On The Brain,Rihanna,1843366,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,2016-12-30,2017-01-06,0.0717,ANTI,0.509,224000,0.637,True,https://i.scdn.co/image/8773986e8f646d32333a5bdafa7797f4c50a1007,1.08e-05,4,0.0789,-4.83,0,72,0.0471,172.006,3,0.378
68,goosebumps,Travis Scott,1833069,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2016-12-30,2017-01-06,0.0847,Birds In The Trap Sing McKnight,0.841,243837,0.728,True,https://i.scdn.co/image/ea447323073c2208e8cf64b0fc3250cc37c71c6c,0.0,7,0.149,-3.37,1,85,0.0484,130.049,4,0.43
69,Reminder,The Weeknd,1829110,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,2016-12-30,2017-01-06,0.142,Starboy,0.705,218880,0.505,True,https://i.scdn.co/image/387c963be76db261c25a1811546ac802ebc8f67c,0.0,8,0.164,-6.923,1,73,0.192,160.043,4,0.391
70,Weak,AJR,1823119,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2016-12-30,2017-01-06,0.137,The Click,0.673,201160,0.637,False,https://i.scdn.co/image/501b3beda8145b37abd91eb9adf112803517c582,0.0,5,0.184,-4.518,1,54,0.0429,123.98,4,0.678
71,This Is What You Came For,Calvin Harris,1820016,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,2016-12-30,2017-01-06,0.199,This Is What You Came For,0.63,222160,0.928,False,https://i.scdn.co/image/d841e53eeac59011d4b638768f3b211dbf8d35fe,0.124,9,0.148,-2.787,0,80,0.0331,123.963,4,0.465
72,No Role Modelz,J. Cole,1814343,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,2016-12-30,2017-01-06,0.302,2014 Forest Hills Drive,0.696,292987,0.521,True,https://i.scdn.co/image/176606ea8b00ee668e47de155c95a6fc1418bad6,0.0,10,0.0565,-8.465,0,81,0.332,100.0,4,0.458
73,Jumpman,Drake,1813853,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ,2016-12-30,2017-01-06,0.0563,What A Time To Be Alive,0.852,205879,0.553,True,https://i.scdn.co/image/c94eca93fb780683941c039d645a9106d33f39ce,0.0,1,0.332,-7.286,1,76,0.187,142.072,4,0.656
74,Make Me (Cry),Noah Cyrus,1788273,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,2016-12-30,2017-01-06,0.592,Make Me (Cry),0.588,242081,0.471,False,https://i.scdn.co/image/fc55a121345639247f83e5586dae96193e578476,0.00146,0,0.0733,-7.287,1,69,0.0577,152.881,4,0.209
75,Money Longer,Lil Uzi Vert,1767920,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ,2016-12-30,2017-01-06,0.0541,Lil Uzi Vert Vs. The World,0.795,198944,0.568,True,https://i.scdn.co/image/a1fe6524bf989f8ed488d73633d939f360a42d4a,0.0,5,0.108,-7.817,0,77,0.142,136.173,4,0.478
76,Change,J. Cole,1739684,https://open.spotify.com/track/3pjUyVbFmM96tYhSaKJwTt,2016-12-30,2017-01-06,0.642,4 Your Eyez Only,0.58,331480,0.519,True,https://i.scdn.co/image/d7d9fbf6929b5b1248e73649ea1ac832b576d5bc,0.00116,11,0.0936,-10.653,0,66,0.251,107.401,4,0.242
77,"i hate u, i love u (feat. olivia o'brien)",gnash,1710840,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,2016-12-30,2017-01-06,0.687,us,0.492,251034,0.275,True,https://i.scdn.co/image/cf2c83d30a116cc09e795dcab484f4d663846ba0,0.0,6,0.101,-13.4,0,81,0.3,92.6,4,0.18
78,Too Many Years,Kodak Black,1706940,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz,2016-12-30,2017-01-06,0.0237,Lil Big Pac,0.665,196336,0.706,True,https://i.scdn.co/image/fe5b7521e8c4e182a9cd07406fbb14fb38d3cc34,0.0,8,0.112,-6.859,0,71,0.0958,147.067,4,0.632
79,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1705908,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,2016-12-30,2017-01-06,0.494,9,0.42,215670,0.636,True,https://i.scdn.co/image/592c33e533ce512908ab0df0b5dcc1c673c0c558,0.0,10,0.122,-7.216,1,6,0.22,156.104,5,0.784
