Position,Track Name,Artist,Streams,URL,Day Start Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
13,Codeine Dreaming (feat. Lil Wayne),Kodak Black,791458,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J,2018-01-23,0.0652,Project Baby 2: All Grown Up (Deluxe),0.736,264532,0.604,True,https://i.scdn.co/image/8823604f48c7e5f3f5fa2e788005656b5cceaedd,6.43e-05,1,0.124,-7.357,0,77,0.222,155.007,4,0.574
14,PICK IT UP (feat. A$AP Rocky),Famous Dex,752743,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd,2018-01-23,0.0149,Pick It Up (feat. A$AP Rocky),0.921,191252,0.467,True,https://i.scdn.co/image/0b39ecae5c03317c931740f36cc3a8846ea3a5e1,0.000238,1,0.334,-8.443,1,79,0.119,135.995,4,0.287
15,LOVE. FEAT. ZACARI.,Kendrick Lamar,751424,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,2018-01-23,0.264,DAMN.,0.8,213400,0.585,True,https://i.scdn.co/image/72a11ced4752d3e6b9106839b650afc696c63d5a,0.0,10,0.153,-7.343,1,80,0.0924,126.058,4,0.779
16,Let You Down,NF,729633,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-23,0.33,Perception,0.659,212120,0.716,False,https://i.scdn.co/image/97f6161ae4533de136e1c76a7a1dd02445d03973,0.0,5,0.173,-5.673,0,30,0.111,148.015,4,0.437
17,Stir Fry,Migos,706713,https://open.spotify.com/track/4fndbjoz1qJyK6JcLdKfzm,2018-01-23,0.00693,Stir Fry,0.813,192132,0.808,True,https://i.scdn.co/image/1115f3e9de7818321a0e681d431737712b368b82,0.0,2,0.133,-5.541,1,7,0.286,181.993,4,0.547
18,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,687263,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,2018-01-23,0.047,All Your Fault: Pt. 2,0.643,163870,0.783,False,https://i.scdn.co/image/c89ea26344e4eb73c641e9520d1df684c30722de,0.0,10,0.083,-6.458,1,85,0.0856,154.084,4,0.579
19,Rewrite The Stars,Zac Efron,671885,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2018-01-23,0.0716,Rewrite The Stars,0.684,217440,0.619,False,https://i.scdn.co/image/4cf8ca7bf42c2ea957a27ef330a6744cda9a34e7,0.0,10,0.122,-7.005,1,74,0.0386,125.046,4,0.284
20,Candy Paint,Post Malone,661274,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf,2018-01-23,0.633,Candy Paint,0.765,229573,0.688,True,https://i.scdn.co/image/87bb2563d30f26a2ed7ed741584451c132375066,0.0,4,0.0734,-5.566,1,14,0.0841,90.013,4,0.434
21,XO TOUR Llif3,Lil Uzi Vert,642710,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,2018-01-23,0.00264,Luv Is Rage 2,0.732,182707,0.75,True,https://i.scdn.co/image/ead73f726959b82d78c41d28ca41edfef92b1c87,0.0,11,0.109,-6.366,0,86,0.231,155.096,4,0.401
22,Sky Walker (feat. Travis Scott),Miguel,637027,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf,2018-01-23,0.173,War & Leisure,0.674,259333,0.506,True,https://i.scdn.co/image/ab501873fbf2500af9f4094f165cece8a3f178c1,0.0,6,0.0866,-10.532,1,77,0.0434,145.965,4,0.183
23,River (feat. Ed Sheeran),Eminem,635050,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD,2018-01-23,0.17,Revival,0.757,221013,0.748,True,https://i.scdn.co/image/a3f1610882a405a909f81526f068ab41357e1f60,0.0,8,0.0759,-5.794,0,30,0.473,90.052,4,0.693
