,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
98,"FEFE (feat. Nicki Minaj, Murda Beatz)",6ix9ine,1179445,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
99,Natural,"Imagine Dragons",1176281,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
100,"Let You Love Me","Rita Ora",1173077,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
101,"no tears left to cry","Ariana Grande",1173065,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
102,"Love Someone","Lukas Graham",1157148,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
103,"My Only Wish (This Year)","Britney Spears",1153351,https://open.spotify.com/track/1UQbxSOVbauPxaUh337GTx
104,Bubalu,"Becky G",1151577,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
105,Desconocidos,"Mau y Ricky",1149069,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
106,"ball w/o you","21 Savage",1143233,https://open.spotify.com/track/50a8bKqlwDEqeiEknrzkTO
107,Money,"Cardi B",1141936,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
108,"Blue Christmas","Elvis Presley",1138196,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
109,"Te Boté - Remix","Nio Garcia",1125628,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
110,Benzema,"Capital Bra",1125456,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E
111,"Santa Baby","Kylie Minogue",1117664,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz
112,"Another One Bites The Dust - Remastered 2011",Queen,1108095,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
113,"Happy Now (feat. Sandro Cavazza)",Kygo,1094051,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
114,"Christmas (Baby Please Come Home)","Mariah Carey",1089492,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
115,"Fire On Fire","Sam Smith",1085775,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
116,"Shape of You","Ed Sheeran",1080016,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
117,Reggaeton,"J Balvin",1071579,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
118,"One Kiss (with Dua Lipa)","Calvin Harris",1071199,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
